item,true,false,accuracy,precision,recall,f0,accuracy_sum
385,96.0,4.0,0.96,0.96,1.0,0.96,0.6948445595854922

386,94.0,6.0,0.94,0.94,1.0,0.94,0.6954780361757106

387,93.0,7.0,0.93,0.93,1.0,0.93,0.6960824742268041

388,93.0,7.0,0.93,0.93,1.0,0.93,0.6966838046272493

389,100.0,0.0,1.0,1.0,1.0,1.0,0.6974615384615385

390,54.0,46.0,0.54,0.54,1.0,0.54,0.6970588235294117

391,51.0,49.0,0.51,0.51,1.0,0.51,0.6965816326530613

392,59.0,41.0,0.59,0.59,1.0,0.59,0.6963104325699746

393,51.0,49.0,0.51,0.51,1.0,0.51,0.6958375634517766

394,57.0,43.0,0.57,0.57,1.0,0.57,0.6955189873417722

