item,true,false,accuracy,precision,recall,f0,accuracy_sum
90,69.0,31.0,0.69,0.69,1.0,0.69,0.7238461538461538

91,69.0,31.0,0.69,0.69,1.0,0.69,0.7234782608695652

92,79.0,21.0,0.79,0.79,1.0,0.79,0.7241935483870968

93,75.0,25.0,0.75,0.75,1.0,0.75,0.7244680851063829

94,70.0,30.0,0.7,0.7,1.0,0.7,0.7242105263157895

95,74.0,26.0,0.74,0.74,1.0,0.74,0.724375

96,69.0,31.0,0.69,0.69,1.0,0.69,0.7240206185567011

97,75.0,25.0,0.75,0.75,1.0,0.75,0.7242857142857143

98,73.0,27.0,0.73,0.73,1.0,0.7299999999999999,0.7243434343434343

99,71.0,29.0,0.71,0.71,1.0,0.7100000000000001,0.7242

100,72.0,28.0,0.72,0.72,1.0,0.72,0.7241584158415841

101,77.0,23.0,0.77,0.77,1.0,0.7699999999999999,0.7246078431372549

102,81.0,19.0,0.81,0.81,1.0,0.81,0.7254368932038835

103,72.0,28.0,0.72,0.72,1.0,0.72,0.7253846153846154

104,72.0,28.0,0.72,0.72,1.0,0.72,0.7253333333333334

105,87.0,13.0,0.87,0.87,1.0,0.87,0.7266981132075472

106,82.0,18.0,0.82,0.82,1.0,0.82,0.7275700934579439

107,87.0,13.0,0.87,0.87,1.0,0.87,0.7288888888888889

108,87.0,13.0,0.87,0.87,1.0,0.87,0.7301834862385321

109,85.0,15.0,0.85,0.85,1.0,0.85,0.7312727272727273

110,88.0,12.0,0.88,0.88,1.0,0.88,0.7326126126126126

111,80.0,20.0,0.8,0.8,1.0,0.8000000000000002,0.7332142857142857

112,68.0,32.0,0.68,0.68,1.0,0.68,0.7327433628318584

113,53.0,47.0,0.53,0.53,1.0,0.53,0.7309649122807017

114,58.0,42.0,0.58,0.58,1.0,0.58,0.7296521739130435

115,58.0,42.0,0.58,0.58,1.0,0.58,0.7283620689655173

116,57.0,43.0,0.57,0.57,1.0,0.57,0.727008547008547

117,56.0,44.0,0.56,0.56,1.0,0.56,0.7255932203389831

118,49.0,51.0,0.49,0.49,1.0,0.49,0.7236134453781513

119,53.0,47.0,0.53,0.53,1.0,0.53,0.722

120,82.0,18.0,0.82,0.82,1.0,0.82,0.7228099173553719

121,86.0,14.0,0.86,0.86,1.0,0.8599999999999999,0.7239344262295082

122,77.0,23.0,0.77,0.77,1.0,0.7699999999999999,0.724308943089431

123,82.0,18.0,0.82,0.82,1.0,0.82,0.7250806451612903

124,82.0,18.0,0.82,0.82,1.0,0.82,0.72584

125,80.0,20.0,0.8,0.8,1.0,0.8000000000000002,0.7264285714285714

126,82.0,18.0,0.82,0.82,1.0,0.82,0.7271653543307086

127,82.0,18.0,0.82,0.82,1.0,0.82,0.727890625

128,85.0,15.0,0.85,0.85,1.0,0.85,0.7288372093023255

129,83.0,17.0,0.83,0.83,1.0,0.83,0.7296153846153847

130,83.0,17.0,0.83,0.83,1.0,0.83,0.730381679389313

131,84.0,16.0,0.84,0.84,1.0,0.8399999999999999,0.7312121212121212

132,76.0,24.0,0.76,0.76,1.0,0.76,0.7314285714285714

133,79.0,21.0,0.79,0.79,1.0,0.79,0.7318656716417911

134,78.0,22.0,0.78,0.78,1.0,0.78,0.7322222222222222

135,55.0,45.0,0.55,0.55,1.0,0.55,0.7308823529411764

136,74.0,26.0,0.74,0.74,1.0,0.74,0.7309489051094891

137,75.0,25.0,0.75,0.75,1.0,0.75,0.7310869565217392

138,66.0,34.0,0.66,0.66,1.0,0.66,0.7305755395683453

139,61.0,39.0,0.61,0.61,1.0,0.61,0.7297142857142858

140,66.0,34.0,0.66,0.66,1.0,0.66,0.7292198581560284

141,69.0,31.0,0.69,0.69,1.0,0.69,0.728943661971831

142,67.0,33.0,0.67,0.67,1.0,0.67,0.7285314685314686

143,63.0,37.0,0.63,0.63,1.0,0.63,0.7278472222222222

144,54.0,46.0,0.54,0.54,1.0,0.54,0.726551724137931

145,54.0,46.0,0.54,0.54,1.0,0.54,0.7252739726027397

146,64.0,36.0,0.64,0.64,1.0,0.64,0.7246938775510204

147,69.0,31.0,0.69,0.69,1.0,0.69,0.7244594594594594

148,61.0,39.0,0.61,0.61,1.0,0.61,0.7236912751677852

149,61.0,39.0,0.61,0.61,1.0,0.61,0.7229333333333333

150,78.0,22.0,0.78,0.78,1.0,0.78,0.7233112582781457

151,79.0,21.0,0.79,0.79,1.0,0.79,0.72375

152,75.0,25.0,0.75,0.75,1.0,0.75,0.7239215686274509

153,76.0,24.0,0.76,0.76,1.0,0.76,0.7241558441558441

154,73.0,27.0,0.73,0.73,1.0,0.7299999999999999,0.7241935483870968

155,73.0,27.0,0.73,0.73,1.0,0.7299999999999999,0.7242307692307692

156,79.0,21.0,0.79,0.79,1.0,0.79,0.7246496815286624

157,75.0,25.0,0.75,0.75,1.0,0.75,0.7248101265822785

158,72.0,28.0,0.72,0.72,1.0,0.72,0.7247798742138365

159,69.0,31.0,0.69,0.69,1.0,0.69,0.7245625

160,65.0,35.0,0.65,0.65,1.0,0.65,0.7240993788819876

161,71.0,29.0,0.71,0.71,1.0,0.7100000000000001,0.7240123456790123

162,72.0,28.0,0.72,0.72,1.0,0.72,0.7239877300613496

163,66.0,34.0,0.66,0.66,1.0,0.66,0.7235975609756098

164,74.0,26.0,0.74,0.74,1.0,0.74,0.7236969696969697

165,45.0,55.0,0.45,0.45,1.0,0.45,0.7220481927710843

166,43.0,57.0,0.43,0.43,1.0,0.42999999999999994,0.7202994011976048

167,48.0,52.0,0.48,0.48,1.0,0.48,0.7188690476190476

168,54.0,46.0,0.54,0.54,1.0,0.54,0.717810650887574

169,51.0,49.0,0.51,0.51,1.0,0.51,0.7165882352941176

170,50.0,50.0,0.5,0.5,1.0,0.5,0.7153216374269006

171,57.0,43.0,0.57,0.57,1.0,0.57,0.7144767441860466

172,67.0,33.0,0.67,0.67,1.0,0.67,0.7142196531791908

173,78.0,22.0,0.78,0.78,1.0,0.78,0.7145977011494253

174,75.0,25.0,0.75,0.75,1.0,0.75,0.7148

175,82.0,18.0,0.82,0.82,1.0,0.82,0.7153977272727273

176,76.0,24.0,0.76,0.76,1.0,0.76,0.7156497175141243

177,77.0,23.0,0.77,0.77,1.0,0.7699999999999999,0.7159550561797753

178,79.0,21.0,0.79,0.79,1.0,0.79,0.7163687150837988

179,79.0,21.0,0.79,0.79,1.0,0.79,0.7167777777777777

180,11.0,89.0,0.11,0.11,1.0,0.11,0.7134254143646409

181,10.0,90.0,0.1,0.1,1.0,0.10000000000000002,0.710054945054945

182,17.0,83.0,0.17,0.17,1.0,0.17,0.7071038251366121

183,12.0,88.0,0.12,0.12,1.0,0.12,0.7039130434782609

184,13.0,87.0,0.13,0.13,1.0,0.13,0.7008108108108108

185,16.0,84.0,0.16,0.16,1.0,0.16,0.6979032258064516

186,16.0,84.0,0.16,0.16,1.0,0.16,0.6950267379679145

187,31.0,69.0,0.31,0.31,1.0,0.31,0.6929787234042554

188,48.0,52.0,0.48,0.48,1.0,0.48,0.6918518518518518

189,59.0,41.0,0.59,0.59,1.0,0.59,0.6913157894736842

190,56.0,44.0,0.56,0.56,1.0,0.56,0.6906282722513089

191,60.0,40.0,0.6,0.6,1.0,0.6,0.69015625

192,63.0,37.0,0.63,0.63,1.0,0.63,0.6898445595854922

193,60.0,40.0,0.6,0.6,1.0,0.6,0.6893814432989691

194,56.0,44.0,0.56,0.56,1.0,0.56,0.6887179487179487

195,87.0,13.0,0.87,0.87,1.0,0.87,0.6896428571428571

196,88.0,12.0,0.88,0.88,1.0,0.88,0.6906091370558376

197,89.0,11.0,0.89,0.89,1.0,0.89,0.6916161616161616

198,88.0,12.0,0.88,0.88,1.0,0.88,0.6925628140703518

199,94.0,6.0,0.94,0.94,1.0,0.94,0.6938

200,92.0,8.0,0.92,0.92,1.0,0.92,0.6949253731343283

201,92.0,8.0,0.92,0.92,1.0,0.92,0.696039603960396

202,71.0,29.0,0.71,0.71,1.0,0.7100000000000001,0.6961083743842365

203,56.0,44.0,0.56,0.56,1.0,0.56,0.6954411764705882

204,59.0,41.0,0.59,0.59,1.0,0.59,0.6949268292682926

205,53.0,47.0,0.53,0.53,1.0,0.53,0.694126213592233

206,56.0,44.0,0.56,0.56,1.0,0.56,0.6934782608695652

207,64.0,36.0,0.64,0.64,1.0,0.64,0.6932211538461538

208,60.0,40.0,0.6,0.6,1.0,0.6,0.6927751196172249

209,53.0,47.0,0.53,0.53,1.0,0.53,0.692

210,42.0,58.0,0.42,0.42,1.0,0.41999999999999993,0.6907109004739337

211,47.0,53.0,0.47,0.47,1.0,0.47,0.6896698113207547

212,47.0,53.0,0.47,0.47,1.0,0.47,0.6886384976525821

213,40.0,60.0,0.4,0.4,1.0,0.4000000000000001,0.6872897196261682

214,33.0,67.0,0.33,0.33,1.0,0.33,0.6856279069767441

215,35.0,65.0,0.35,0.35,1.0,0.35,0.6840740740740741

216,33.0,67.0,0.33,0.33,1.0,0.33,0.682442396313364

217,57.0,43.0,0.57,0.57,1.0,0.57,0.6819266055045872

218,75.0,25.0,0.75,0.75,1.0,0.75,0.6822374429223744

219,73.0,27.0,0.73,0.73,1.0,0.7299999999999999,0.6824545454545454

220,75.0,25.0,0.75,0.75,1.0,0.75,0.6827601809954751

221,78.0,22.0,0.78,0.78,1.0,0.78,0.6831981981981982

222,72.0,28.0,0.72,0.72,1.0,0.72,0.6833632286995516

223,77.0,23.0,0.77,0.77,1.0,0.7699999999999999,0.68375

224,73.0,27.0,0.73,0.73,1.0,0.7299999999999999,0.6839555555555555

225,58.0,42.0,0.58,0.58,1.0,0.58,0.6834955752212389

226,69.0,31.0,0.69,0.69,1.0,0.69,0.6835242290748899

227,70.0,30.0,0.7,0.7,1.0,0.7,0.6835964912280702

228,60.0,40.0,0.6,0.6,1.0,0.6,0.6832314410480349

229,58.0,42.0,0.58,0.58,1.0,0.58,0.6827826086956522

230,67.0,33.0,0.67,0.67,1.0,0.67,0.6827272727272727

231,66.0,34.0,0.66,0.66,1.0,0.66,0.6826293103448275

232,42.0,58.0,0.42,0.42,1.0,0.41999999999999993,0.6815021459227468

233,31.0,69.0,0.31,0.31,1.0,0.31,0.6799145299145299

234,34.0,66.0,0.34,0.34,1.0,0.34,0.678468085106383

235,34.0,66.0,0.34,0.34,1.0,0.34,0.6770338983050848

236,34.0,66.0,0.34,0.34,1.0,0.34,0.6756118143459916

237,25.0,75.0,0.25,0.25,1.0,0.25,0.6738235294117647

238,38.0,62.0,0.38,0.38,1.0,0.38,0.6725941422594143

239,37.0,63.0,0.37,0.37,1.0,0.37,0.6713333333333333

240,95.0,5.0,0.95,0.95,1.0,0.9500000000000001,0.6724896265560166

241,95.0,5.0,0.95,0.95,1.0,0.9500000000000001,0.6736363636363636

242,95.0,5.0,0.95,0.95,1.0,0.9500000000000001,0.6747736625514403

243,94.0,6.0,0.94,0.94,1.0,0.94,0.6758606557377049

244,97.0,3.0,0.97,0.97,1.0,0.97,0.6770612244897959

245,94.0,6.0,0.94,0.94,1.0,0.94,0.678130081300813

246,98.0,2.0,0.98,0.98,1.0,0.98,0.6793522267206478

247,78.0,22.0,0.78,0.78,1.0,0.78,0.6797580645161291

248,52.0,48.0,0.52,0.52,1.0,0.52,0.6791164658634539

249,48.0,52.0,0.48,0.48,1.0,0.48,0.67832

250,52.0,48.0,0.52,0.52,1.0,0.52,0.6776892430278885

251,61.0,39.0,0.61,0.61,1.0,0.61,0.6774206349206349

252,67.0,33.0,0.67,0.67,1.0,0.67,0.6773913043478261

253,49.0,51.0,0.49,0.49,1.0,0.49,0.6766535433070866

254,57.0,43.0,0.57,0.57,1.0,0.57,0.676235294117647

255,62.0,38.0,0.62,0.62,1.0,0.62,0.676015625

256,57.0,43.0,0.57,0.57,1.0,0.57,0.6756031128404669

257,73.0,27.0,0.73,0.73,1.0,0.7299999999999999,0.6758139534883721

258,63.0,37.0,0.63,0.63,1.0,0.63,0.6756370656370656

259,63.0,37.0,0.63,0.63,1.0,0.63,0.6754615384615384

260,67.0,33.0,0.67,0.67,1.0,0.67,0.6754406130268199

261,66.0,34.0,0.66,0.66,1.0,0.66,0.6753816793893129

262,69.0,31.0,0.69,0.69,1.0,0.69,0.6754372623574144

263,52.0,48.0,0.52,0.52,1.0,0.52,0.6748484848484848

264,72.0,28.0,0.72,0.72,1.0,0.72,0.6750188679245283

265,70.0,30.0,0.7,0.7,1.0,0.7,0.6751127819548872

266,58.0,42.0,0.58,0.58,1.0,0.58,0.6747565543071161

267,67.0,33.0,0.67,0.67,1.0,0.67,0.6747388059701492

268,67.0,33.0,0.67,0.67,1.0,0.67,0.6747211895910781

269,66.0,34.0,0.66,0.66,1.0,0.66,0.6746666666666666

270,81.0,19.0,0.81,0.81,1.0,0.81,0.6751660516605166

271,85.0,15.0,0.85,0.85,1.0,0.85,0.6758088235294117

272,76.0,24.0,0.76,0.76,1.0,0.76,0.6761172161172161

273,82.0,18.0,0.82,0.82,1.0,0.82,0.6766423357664234

274,85.0,15.0,0.85,0.85,1.0,0.85,0.6772727272727272

275,86.0,14.0,0.86,0.86,1.0,0.8599999999999999,0.6779347826086957

276,79.0,21.0,0.79,0.79,1.0,0.79,0.6783393501805054

277,59.0,41.0,0.59,0.59,1.0,0.59,0.678021582733813

278,45.0,55.0,0.45,0.45,1.0,0.45,0.6772043010752689

279,45.0,55.0,0.45,0.45,1.0,0.45,0.6763928571428571

280,55.0,45.0,0.55,0.55,1.0,0.55,0.6759430604982206

281,48.0,52.0,0.48,0.48,1.0,0.48,0.6752482269503546

282,47.0,53.0,0.47,0.47,1.0,0.47,0.6745229681978798

283,50.0,50.0,0.5,0.5,1.0,0.5,0.6739084507042253

284,52.0,48.0,0.52,0.52,1.0,0.52,0.6733684210526316

285,84.0,16.0,0.84,0.84,1.0,0.8399999999999999,0.673951048951049

286,83.0,17.0,0.83,0.83,1.0,0.83,0.6744947735191638

287,84.0,16.0,0.84,0.84,1.0,0.8399999999999999,0.6750694444444445

288,74.0,26.0,0.74,0.74,1.0,0.74,0.6752941176470588

289,74.0,26.0,0.74,0.74,1.0,0.74,0.6755172413793104

290,77.0,23.0,0.77,0.77,1.0,0.7699999999999999,0.6758419243986254

291,84.0,16.0,0.84,0.84,1.0,0.8399999999999999,0.6764041095890411

292,75.0,25.0,0.75,0.75,1.0,0.75,0.6766552901023891

293,61.0,39.0,0.61,0.61,1.0,0.61,0.6764285714285714

294,63.0,37.0,0.63,0.63,1.0,0.63,0.676271186440678

295,69.0,31.0,0.69,0.69,1.0,0.69,0.6763175675675676

296,65.0,35.0,0.65,0.65,1.0,0.65,0.6762289562289562

297,60.0,40.0,0.6,0.6,1.0,0.6,0.6759731543624161

298,67.0,33.0,0.67,0.67,1.0,0.67,0.6759531772575251

299,62.0,38.0,0.62,0.62,1.0,0.62,0.6757666666666666

300,93.0,7.0,0.93,0.93,1.0,0.93,0.6766112956810632

